Data	Standard	Correction	Scaling	SleekitLight	SleekitHeavy
opt-125m/9.fc1	0.026766667142510414	0.02002611570060253	0.027650633826851845	0.01989869959652424	0.017145154997706413
opt-125m/9.fc2	0.0019725919701159	0.001957791391760111	0.0019614624325186014	0.0018531754612922668	0.001718022278510034
opt-125m/9.self_attn.k_proj	1.0554336309432983	0.8975093960762024	0.7890128493309021	0.7481608986854553	0.5068463683128357
opt-125m/9.self_attn.out_proj	0.0010200920514762402	0.0010065032402053475	0.001046425080858171	0.0010084782261401415	0.0009076815913431346
opt-125m/9.self_attn.q_proj	0.5685246586799622	0.47491052746772766	0.48979663848876953	0.44931793212890625	0.3298579156398773
opt-125m/9.self_attn.v_proj	0.03906688466668129	0.038624439388513565	0.040901172906160355	0.037749674171209335	0.032576754689216614
opt-350m/0.fc1	0.2819749414920807	0.23902183771133423	0.3093116879463196	0.22768086194992065	0.10046850889921188
opt-350m/0.fc2	0.005452031269669533	0.005425445735454559	0.005463788285851479	0.005399404093623161	0.004694829694926739
opt-350m/0.self_attn.k_proj	0.011824206449091434	0.010003156028687954	0.00870799645781517	0.006584515795111656	0.0009913232643157244
opt-350m/0.self_attn.out_proj	1.8908428955910495e-06	4.933935429107805e-07	2.463611394887266e-07	2.0274386258734012e-07	1.3238158658168686e-07
opt-350m/0.self_attn.q_proj	0.03733425587415695	0.011055105365812778	0.011150768026709557	0.00627693347632885	0.0009750450844876468
opt-350m/0.self_attn.v_proj	0.00011323983926558867	0.00011033734335796908	0.0001251841604243964	0.00010037604079116136	5.421052992460318e-05
opt-350m/1.fc1	0.20791319012641907	0.18833160400390625	0.2580356299877167	0.19637256860733032	0.105128213763237
opt-350m/1.fc2	0.016114920377731323	0.015998024493455887	0.012570365332067013	0.012557050213217735	0.005361367482692003
opt-350m/1.self_attn.k_proj	0.9254290461540222	0.8370124101638794	0.7514622807502747	0.5358580350875854	0.1121215969324112
opt-350m/1.self_attn.out_proj	0.0020778444595634937	0.0020351791754364967	0.0019781342707574368	0.0019565573893487453	0.0015642090002074838
