Data	MSE	Diag	Hessian	OBQAware
bloom-560m/12.self_attention.query_key_value	0.48748263716697693	0.19920845329761505	0.19606690108776093	0.16928358376026154
bloom-560m/13.mlp.dense_4h_to_h	0.0034878128208220005	0.0035014222376048565	0.0036399848759174347	0.0034586016554385424
bloom-560m/13.mlp.dense_h_to_4h	0.06203491985797882	0.06390739232301712	0.06378260254859924	0.05913914740085602
bloom-560m/13.self_attention.dense	0.001513181021437049	0.0015250968281179667	0.0015721487579867244	0.0014845775440335274
bloom-560m/13.self_attention.query_key_value	0.3531225919723511	0.19098971784114838	0.18592022359371185	0.16005229949951172
bloom-560m/14.mlp.dense_4h_to_h	0.003653579391539097	0.0036493081133812666	0.003840288147330284	0.003625277429819107
bloom-560m/14.mlp.dense_h_to_4h	0.06219220533967018	0.06383079290390015	0.06420822441577911	0.059731654822826385
bloom-560m/14.self_attention.dense	0.00127249991055578	0.0012742857215926051	0.0013071598950773478	0.0012477642158046365
bloom-560m/14.self_attention.query_key_value	0.3421773612499237	0.19723893702030182	0.19225768744945526	0.16452454030513763
bloom-560m/15.mlp.dense_4h_to_h	0.0038867397233843803	0.0038965281564742327	0.0040734088979661465	0.0038582817651331425
bloom-560m/15.mlp.dense_h_to_4h	0.06355299055576324	0.06592313945293427	0.06584449857473373	0.06098085641860962
bloom-560m/15.self_attention.dense	0.0013194348430261016	0.0013219492975622416	0.0013576888013631105	0.0012821804266422987
bloom-560m/15.self_attention.query_key_value	0.3198799192905426	0.18956267833709717	0.1865265816450119	0.1604895144701004
bloom-560m/16.mlp.dense_4h_to_h	0.004345810040831566	0.004340916872024536	0.0045898472890257835	0.004309921525418758
bloom-560m/16.mlp.dense_h_to_4h	0.0634673610329628	0.06554735451936722	0.0660531222820282	0.061042819172143936
bloom-560m/16.self_attention.dense	0.0014243246987462044	0.0014309127582237124	0.0014628893695771694	0.001393449492752552
bloom-560m/16.self_attention.query_key_value	0.34386172890663147	0.20799438655376434	0.20336221158504486	0.17524491250514984
bloom-560m/17.mlp.dense_4h_to_h	0.00503904651850462	0.00503239780664444	0.005278117023408413	0.005002315156161785
bloom-560m/17.mlp.dense_h_to_4h	0.06369562447071075	0.06641267240047455	0.06667906790971756	0.06121537461876869
bloom-560m/17.self_attention.dense	0.001456530881114304	0.0014906792202964425	0.0015178844332695007	0.0014082990819588304
bloom-560m/17.self_attention.query_key_value	0.26001641154289246	0.174948051571846	0.17049789428710938	0.14449317753314972
bloom-560m/18.mlp.dense_4h_to_h	0.005903264973312616	0.005912493914365768	0.006214471533894539	0.005862382706254721
bloom-560m/18.mlp.dense_h_to_4h	0.06605956703424454	0.06903260946273804	0.06933850795030594	0.06332339346408844
bloom-560m/18.self_attention.dense	0.0018864498706534505	0.0019138455390930176	0.0019527771510183811	0.001826730789616704
