Data	Max	MSE	Diag	Hessian	OBQAware
opt-350m/0.self_attn.out_proj	1.6309779766743304e-06	2.6322943540435517e-06	3.294568386991159e-07	4.22333755523141e-07	1.9270527218395728e-07
opt-350m/0.self_attn.q_proj	0.002456442918628454	0.04432052746415138	0.015031947754323483	0.0041384208016097546	0.0015961762983351946
opt-350m/0.self_attn.v_proj	0.0006194417364895344	0.00013930528075434268	0.00015108799561858177	0.00015027730842120945	0.00010775291593745351
opt-350m/1.fc1	0.8469861149787903	0.23193591833114624	0.28275519609451294	0.19538302719593048	0.1629071831703186
opt-350m/1.fc2	0.07933405041694641	0.01616176776587963	0.012597811408340931	0.006175248883664608	0.005805089138448238
opt-350m/1.self_attn.k_proj	0.8445699214935303	1.0285700559616089	0.847775936126709	0.21508577466011047	0.17825044691562653
opt-350m/1.self_attn.out_proj	0.0213787741959095	0.002104981103911996	0.0020075798965990543	0.002075817435979843	0.001776163000613451
opt-350m/1.self_attn.q_proj	0.7849633693695068	0.47706225514411926	0.45982587337493896	0.19204767048358917	0.15354806184768677
opt-350m/1.self_attn.v_proj	0.41140618920326233	0.09031696617603302	0.10592803359031677	0.10251773148775101	0.072939932346344
opt-350m/10.fc1	1.072346568107605	0.21563228964805603	0.24022719264030457	0.20975467562675476	0.1942867934703827
opt-350m/10.fc2	0.44618093967437744	0.025377456098794937	0.02504376508295536	0.02341063693165779	0.017455538734793663
opt-350m/10.self_attn.k_proj	1.4601538181304932	0.4641224145889282	0.42340797185897827	0.3259568512439728	0.29665225744247437
opt-350m/10.self_attn.out_proj	0.13457423448562622	0.0105771254748106	0.010647381655871868	0.010576240718364716	0.009514469653367996
opt-350m/10.self_attn.q_proj	1.4229623079299927	0.37964174151420593	0.3886473774909973	0.3196842670440674	0.2928299903869629
opt-350m/10.self_attn.v_proj	0.6381344199180603	0.14376041293144226	0.15599626302719116	0.15160146355628967	0.13772150874137878
opt-350m/11.fc1	1.018717646598816	0.22121888399124146	0.2400706559419632	0.21848845481872559	0.20147517323493958
opt-350m/11.fc2	0.5072681903839111	0.0199841670691967	0.020010201260447502	0.022751357406377792	0.019699377939105034
opt-350m/11.self_attn.k_proj	1.4225964546203613	0.4677868187427521	0.39904361963272095	0.29803887009620667	0.2755875587463379
opt-350m/11.self_attn.out_proj	0.09509359300136566	0.00701161241158843	0.007045711390674114	0.007446731440722942	0.0069018821232020855
opt-350m/11.self_attn.q_proj	1.3355385065078735	0.313862144947052	0.30772915482521057	0.2741692066192627	0.25417569279670715
opt-350m/11.self_attn.v_proj	0.7522045969963074	0.16189126670360565	0.17029866576194763	0.17076444625854492	0.15721507370471954
opt-350m/12.fc1	1.0566270351409912	0.2307707667350769	0.24554771184921265	0.23261259496212006	0.21396520733833313
opt-350m/12.fc2	0.5110477805137634	0.020154964178800583	0.02007203735411167	0.02173498272895813	0.01992218568921089
opt-350m/12.self_attn.k_proj	1.5895304679870605	0.3943021893501282	0.3582742512226105	0.30052605271339417	0.28060856461524963
opt-350m/12.self_attn.out_proj	0.14315545558929443	0.010846514254808426	0.010837364010512829	0.011338228359818459	0.01064082607626915
opt-350m/12.self_attn.q_proj	1.586742639541626	0.3697764277458191	0.34757372736930847	0.2989468574523926	0.28097468614578247
opt-350m/12.self_attn.v_proj	1.0594565868377686	0.1959485113620758	0.20579665899276733	0.20230555534362793	0.18947836756706238
opt-350m/13.fc1	1.0790079832077026	0.23501183092594147	0.25202804803848267	0.24144180119037628	0.22019074857234955
opt-350m/13.fc2	0.5376957654953003	0.021947387605905533	0.021841436624526978	0.0236036516726017	0.0217035710811615
opt-350m/13.self_attn.k_proj	1.714042067527771	0.4200996458530426	0.3816349506378174	0.3128577470779419	0.2928295135498047
opt-350m/13.self_attn.out_proj	0.15568611025810242	0.010706281289458275	0.010743912309408188	0.011038615368306637	0.010587969794869423
opt-350m/13.self_attn.q_proj	1.5986809730529785	0.31025922298431396	0.3159058094024658	0.28989264369010925	0.27320075035095215
opt-350m/13.self_attn.v_proj	1.0778656005859375	0.19215118885040283	0.1984960287809372	0.20363059639930725	0.18733908236026764
opt-350m/14.fc1	1.1525009870529175	0.2335536777973175	0.2566157579421997	0.24547788500785828	0.22054556012153625
opt-350m/14.fc2	0.4958680272102356	0.020393598824739456	0.02032245323061943	0.02162502333521843	0.02022574655711651
opt-350m/14.self_attn.k_proj	1.7250475883483887	0.3599439859390259	0.3512437045574188	0.3107098340988159	0.29083701968193054
opt-350m/14.self_attn.out_proj	0.09204749763011932	0.006389761809259653	0.0064004333689808846	0.006562718190252781	0.006286609452217817
opt-350m/14.self_attn.q_proj	1.718642234802246	0.3116986155509949	0.3202401101589203	0.3038882613182068	0.28487321734428406
opt-350m/14.self_attn.v_proj	1.2693283557891846	0.21353130042552948	0.22473487257957458	0.228103905916214	0.20849761366844177
opt-350m/15.fc1	1.1315891742706299	0.22956955432891846	0.2577168345451355	0.24243007600307465	0.2168523669242859
opt-350m/15.fc2	0.4799618124961853	0.020365141332149506	0.020287005230784416	0.02225065417587757	0.020161084830760956
opt-350m/15.self_attn.k_proj	1.7226243019104004	0.36401456594467163	0.3626968264579773	0.31387728452682495	0.29429158568382263
opt-350m/15.self_attn.out_proj	0.09106683731079102	0.006768063176423311	0.006800855975598097	0.0068153562024235725	0.006484148558229208
opt-350m/15.self_attn.q_proj	1.6976736783981323	0.31832653284072876	0.33071428537368774	0.30854982137680054	0.288623571395874
opt-350m/15.self_attn.v_proj	1.2109540700912476	0.1983606070280075	0.2102145403623581	0.21295048296451569	0.1936292201280594
opt-350m/16.fc1	1.0892651081085205	0.2265986204147339	0.2611914277076721	0.2371256947517395	0.21263013780117035
opt-350m/16.fc2	0.44820982217788696	0.019656268879771233	0.01959678716957569	0.0219679344445467	0.019353095442056656
opt-350m/16.self_attn.k_proj	1.6971285343170166	0.34960755705833435	0.34988683462142944	0.3122321367263794	0.29132312536239624
opt-350m/16.self_attn.out_proj	0.11295506358146667	0.008287521079182625	0.008368805050849915	0.00836853962391615	0.008032562211155891
opt-350m/16.self_attn.q_proj	1.7491317987442017	0.3238125145435333	0.34048259258270264	0.3161196708679199	0.2955421805381775
opt-350m/16.self_attn.v_proj	1.291356086730957	0.21479228138923645	0.22697016596794128	0.228590190410614	0.2103673815727234
opt-350m/17.fc1	1.037358045578003	0.21801654994487762	0.2601221203804016	0.22376415133476257	0.20395398139953613
