Data	MSE	Diag	Hessian	OBQAware
bloom-560m/6.self_attention.query_key_value	0.0676344707608223	0.05616201087832451	0.055118005722761154	0.047138512134552
bloom-560m/7.mlp.dense_4h_to_h	0.0018058198038488626	0.0016219825483858585	0.001695056795142591	0.0015911846421658993
bloom-560m/7.mlp.dense_h_to_4h	0.017809361219406128	0.01734255999326706	0.01741183176636696	0.015907898545265198
bloom-560m/7.self_attention.dense	0.0006970935501158237	0.0006627509137615561	0.0006901781307533383	0.0006220819777809083
bloom-560m/7.self_attention.query_key_value	0.06729792058467865	0.05299137160181999	0.05021532252430916	0.04105678200721741
bloom-560m/8.mlp.dense_4h_to_h	0.0015455319080501795	0.0011173118837177753	0.0011686808429658413	0.0011012644972652197
bloom-560m/8.mlp.dense_h_to_4h	0.012732678093016148	0.012475846335291862	0.012457944452762604	0.011581532657146454
bloom-560m/8.self_attention.dense	0.0007387683144770563	0.0007541473023593426	0.0007815139833837748	0.0007183947018347681
bloom-560m/8.self_attention.query_key_value	0.14197920262813568	0.08092733472585678	0.0777437686920166	0.06360071152448654
bloom-560m/9.mlp.dense_4h_to_h	0.0014779239427298307	0.000955876661464572	0.001010448788292706	0.0009403886506333947
bloom-560m/9.mlp.dense_h_to_4h	0.011500714346766472	0.00983789935708046	0.009810876101255417	0.009042615070939064
bloom-560m/9.self_attention.dense	0.0007775633130222559	0.0007822143379598856	0.0007899348274804652	0.0007537460187450051
bloom-560m/9.self_attention.query_key_value	0.2373691350221634	0.08324220031499863	0.0813731998205185	0.06748464703559875
opt-125m/0.fc1	0.0008851264719851315	0.0009515478159300983	0.0009699561633169651	0.0008305644732899964
opt-125m/0.fc2	0.010809611529111862	0.0005649945815093815	0.0004502444062381983	0.00019095292373094708
opt-125m/0.self_attn.k_proj	0.2856523096561432	0.11318516731262207	0.10673987865447998	0.09282376617193222
opt-125m/0.self_attn.out_proj	5.7621411542641e-05	4.648683898267336e-05	3.5380122426431626e-05	2.7726806365535595e-05
opt-125m/0.self_attn.q_proj	0.16128258407115936	0.08001245558261871	0.07627903670072556	0.06915301084518433
opt-125m/0.self_attn.v_proj	0.0014851870946586132	0.0010752248344942927	0.0011017991928383708	0.0009382528369314969
opt-125m/1.fc1	0.0024224852677434683	0.004415077622979879	0.002780530834570527	0.0021573633421212435
opt-125m/1.fc2	0.0012632556026801467	0.0009829701157286763	0.000639909238088876	0.00015178443572949618
opt-125m/1.self_attn.k_proj	0.19242948293685913	0.051151975989341736	0.05233336612582207	0.042158182710409164
opt-125m/1.self_attn.out_proj	2.942756145785097e-05	2.467079866619315e-05	2.943231629615184e-05	2.2993224774836563e-05
opt-125m/1.self_attn.q_proj	0.10010635852813721	0.03275495395064354	0.03243544325232506	0.026868632063269615
opt-125m/1.self_attn.v_proj	0.0011910219909623265	0.0010615172795951366	0.0010428470559418201	0.0009339709649793804
opt-125m/10.fc1	0.007891391403973103	0.007945524528622627	0.008062534034252167	0.0074613019824028015
opt-125m/10.fc2	0.0010990760056301951	0.0010994421318173409	0.0011434642365202308	0.0010588212171569467
opt-125m/10.self_attn.k_proj	0.5386898517608643	0.2760140001773834	0.26557445526123047	0.2413005381822586
opt-125m/10.self_attn.out_proj	0.00036922391154803336	0.0003746964212041348	0.00038270928780548275	0.0003613376466091722
opt-125m/10.self_attn.q_proj	0.26261934638023376	0.15707236528396606	0.1554848551750183	0.14528991281986237
opt-125m/10.self_attn.v_proj	0.014158565551042557	0.014335233718156815	0.014701448380947113	0.013867435045540333
opt-125m/11.fc1	0.009973780252039433	0.010572013445198536	0.010159983299672604	0.009155229665338993
opt-125m/11.fc2	0.021613558754324913	0.021554894745349884	0.002005953574553132	0.0015935698756948113
opt-125m/11.self_attn.k_proj	0.19910180568695068	0.14677204191684723	0.14525996148586273	0.13703487813472748
opt-125m/11.self_attn.out_proj	0.001052773091942072	0.0009558987803757191	0.0009423459996469319	0.0008802097290754318
opt-125m/11.self_attn.q_proj	0.09698875993490219	0.08608994632959366	0.08606406301259995	0.08192328363656998
opt-125m/11.self_attn.v_proj	0.01698911003768444	0.01700880378484726	0.017461488023400307	0.016685185953974724
opt-125m/2.fc1	0.0025751718785613775	0.0038761815521866083	0.0026712752878665924	0.002395101124420762
opt-125m/2.fc2	0.00928048137575388	0.0012210201239213347	0.0002685434592422098	0.00019109495042357594
opt-125m/2.self_attn.k_proj	0.483306884765625	0.21434026956558228	0.17791424691677094	0.09873062372207642
opt-125m/2.self_attn.out_proj	1.8227123291580938e-05	2.121934994647745e-05	1.998757761612069e-05	1.759826955094468e-05
opt-125m/2.self_attn.q_proj	0.5094268321990967	0.15154747664928436	0.13123901188373566	0.07411425560712814
opt-125m/2.self_attn.v_proj	0.0024843888822942972	0.0049452693201601505	0.004246039316058159	0.002328878967091441
opt-125m/3.fc1	0.0019412747351452708	0.002453418215736747	0.0021642986685037613	0.0018338136142119765
opt-125m/3.fc2	0.0006129026296548545	0.00043109722901135683	0.0002347593690501526	0.00016984999820124358
opt-125m/3.self_attn.k_proj	1.2188457250595093	0.12498684972524643	0.12750808894634247	0.0784570574760437
opt-125m/3.self_attn.out_proj	2.1689687855541706e-05	2.219666203018278e-05	2.2185829948284663e-05	2.089761255774647e-05
opt-125m/3.self_attn.q_proj	1.0300089120864868	0.11325094103813171	0.11780800670385361	0.07074634730815887
opt-125m/3.self_attn.v_proj	0.0045761726796627045	0.007741914596408606	0.006894463673233986	0.004250564146786928
opt-125m/4.fc1	0.0030599497258663177	0.003908923361450434	0.0034801841247826815	0.002881205640733242
opt-125m/4.fc2	0.0007013172726146877	0.0005084733129478991	0.0004278231645002961	0.00021809821191709489
opt-125m/4.self_attn.k_proj	1.4905667304992676	0.1537965089082718	0.16251640021800995	0.10978186130523682
opt-125m/4.self_attn.out_proj	3.064173142774962e-05	3.1126048270380124e-05	3.211422881577164e-05	3.0027696993784048e-05
opt-125m/4.self_attn.q_proj	0.9014413952827454	0.13176946341991425	0.13409523665905	0.09569928795099258
opt-125m/4.self_attn.v_proj	0.005529541522264481	0.00814579613506794	0.007542695850133896	0.005306107457727194
opt-125m/5.fc1	0.0026700450107455254	0.0028745129238814116	0.0027737810742110014	0.002542047528550029
opt-125m/5.fc2	0.00018987587827723473	0.0001721090084174648	0.00017531529010739177	0.00016177017823792994
opt-125m/5.self_attn.k_proj	1.4154572486877441	0.1706370711326599	0.17171622812747955	0.13076283037662506
opt-125m/5.self_attn.out_proj	5.302094723447226e-05	5.3759784350404516e-05	5.507700188900344e-05	5.1802664529532194e-05
opt-125m/5.self_attn.q_proj	0.883284330368042	0.14890815317630768	0.1531783789396286	0.11680086702108383
opt-125m/5.self_attn.v_proj	0.005078969523310661	0.006504040211439133	0.006272731348872185	0.0049156309105455875
