Data	Scaling	GPTQ	GPTQ+LS10	GPTQ+LS100
opt-350m/11.fc2	mse	0.006441055331379175	0.006342627108097076	0.006125087849795818
opt-350m/11.self_attn.k_proj	mse	0.07884664833545685	0.0737343430519104	0.06616926938295364
opt-350m/11.self_attn.out_proj	mse	0.002027793088927865	0.0019770741928368807	0.00195126433391124
opt-350m/11.self_attn.q_proj	mse	0.06998512148857117	0.06611455231904984	0.06032506376504898
opt-350m/11.self_attn.v_proj	mse	0.04723125696182251	0.04454388469457626	0.039956964552402496
opt-350m/12.fc1	mse	0.06139138340950012	0.05808049440383911	0.05292913317680359
opt-350m/12.fc2	mse	0.006491152569651604	0.006396432872861624	0.006170190870761871
opt-350m/12.self_attn.k_proj	mse	0.0774603933095932	0.07292446494102478	0.06631933152675629
opt-350m/12.self_attn.out_proj	mse	0.003244606778025627	0.0031581996008753777	0.0031029756646603346
opt-350m/12.self_attn.q_proj	mse	0.07840415090322495	0.0738224983215332	0.06717516481876373
