Data	Standard	Correction	Scaling	SleekitLight	SleekitHeavy
bloom-560m/5.self_attention.dense	0.0009481675224378705	0.0009233783348463476	0.0009285842534154654	0.0009000917198136449	0.0008269213140010834
bloom-560m/5.self_attention.query_key_value	0.07403579354286194	0.06785520166158676	0.07104315608739853	0.06503744423389435	0.05382225289940834
bloom-560m/6.mlp.dense_4h_to_h	0.0029634772799909115	0.0029536602087318897	0.0029708980582654476	0.0028634783811867237	0.002700038254261017
bloom-560m/6.mlp.dense_h_to_4h	0.051605481654405594	0.049868714064359665	0.0536542609333992	0.050240278244018555	0.041645072400569916
bloom-560m/6.self_attention.dense	0.001358783571049571	0.0013415950816124678	0.001394517719745636	0.0013445221120491624	0.001218542456626892
bloom-560m/6.self_attention.query_key_value	0.10774967819452286	0.09593871980905533	0.09902313351631165	0.09032589197158813	0.06936490535736084
bloom-560m/7.mlp.dense_4h_to_h	0.002132080728188157	0.0020723887719213963	0.002135857008397579	0.0020689917728304863	0.001965470612049103
bloom-560m/7.mlp.dense_h_to_4h	0.028546899557113647	0.02727343514561653	0.029307235032320023	0.027439437806606293	0.022610021755099297
bloom-560m/7.self_attention.dense	0.0010545040713623166	0.0010100803337991238	0.001074247993528843	0.0009987913072109222	0.0009130775579251349
bloom-560m/7.self_attention.query_key_value	0.11096445471048355	0.09056875854730606	0.09011957049369812	0.08231090754270554	0.059466660022735596
bloom-560m/8.mlp.dense_4h_to_h	0.0017320490442216396	0.001715920283459127	0.0017398142954334617	0.0017537805251777172	0.0016567015554755926
bloom-560m/8.mlp.dense_h_to_4h	0.02078206092119217	0.019814983010292053	0.02107948809862137	0.020042268559336662	0.016718529164791107
bloom-560m/8.self_attention.dense	0.0011746303644031286	0.0011637224815785885	0.0011981092393398285	0.0011337449541315436	0.0010385705390945077
bloom-560m/8.self_attention.query_key_value	0.22868549823760986	0.16300749778747559	0.1403321772813797	0.12795321643352509	0.09149370342493057
bloom-560m/9.mlp.dense_4h_to_h	0.0014894392807036638	0.0014685653150081635	0.0014958754181861877	0.0015177528839558363	0.0014254130655899644
bloom-560m/9.mlp.dense_h_to_4h	0.016473736613988876	0.0152598787099123	0.016413584351539612	0.015415123663842678	0.012883177027106285
bloom-560m/9.self_attention.dense	0.0012274454347789288	0.0012181042693555355	0.0012536589056253433	0.0012081963941454887	0.001075903419405222
bloom-560m/9.self_attention.query_key_value	0.3366449773311615	0.22887106239795685	0.1365530788898468	0.12625469267368317	0.09525706619024277
opt-125m/0.fc1	0.0014943405985832214	0.0013083323137834668	0.0015721912495791912	0.0013499618507921696	0.0011645982740446925
opt-125m/0.fc2	0.00017296778969466686	0.00014770544657949358	0.00014064564311411232	0.00012547553342301399	9.79187898337841e-05
opt-125m/0.self_attn.k_proj	0.41699835658073425	0.4196403920650482	0.1640568971633911	0.15966390073299408	0.13803444802761078
opt-125m/0.self_attn.out_proj	3.068802470806986e-05	2.732026950980071e-05	3.822218786808662e-05	2.818671055138111e-05	2.4422099158982746e-05
opt-125m/0.self_attn.q_proj	0.24533796310424805	0.23909151554107666	0.13603836297988892	0.12999171018600464	0.10897091031074524
opt-125m/0.self_attn.v_proj	0.0020498100202530622	0.0019302420550957322	0.0015670076245442033	0.0014692572876811028	0.0012818066170439124
opt-125m/1.fc1	0.003966114018112421	0.003521642880514264	0.0042737433686852455	0.003583880141377449	0.002923695370554924
opt-125m/1.fc2	9.970305109163746e-05	9.415525710210204e-05	9.46627915254794e-05	8.609136421000585e-05	7.879669283283874e-05
opt-125m/1.self_attn.k_proj	0.30824804306030273	0.3057466149330139	0.09657424688339233	0.09012418240308762	0.06981025636196136
opt-125m/1.self_attn.out_proj	2.2386482669389807e-05	2.219876660092268e-05	2.265348484797869e-05	2.211650280514732e-05	1.9609951777965762e-05
opt-125m/1.self_attn.q_proj	0.1340513378381729	0.12447013705968857	0.059449803084135056	0.05336843058466911	0.04403115436434746
opt-125m/1.self_attn.v_proj	0.00189178716391325	0.0019072951981797814	0.0016907838871702552	0.0016609247541055083	0.001355789601802826
opt-125m/10.fc1	0.014061885885894299	0.012018326669931412	0.014396656304597855	0.012027006596326828	0.010649585165083408
opt-125m/10.fc2	0.0016688482137396932	0.001656181993894279	0.0016910532722249627	0.0015852233627811074	0.0014642839087173343
opt-125m/10.self_attn.k_proj	0.674627959728241	0.6550168395042419	0.4070417881011963	0.3781917989253998	0.2887209355831146
opt-125m/10.self_attn.out_proj	0.0005899126990698278	0.000584541994612664	0.0006003368180245161	0.0005822879611514509	0.0005421369569376111
opt-125m/10.self_attn.q_proj	0.35992002487182617	0.3391752243041992	0.2656245529651642	0.24507339298725128	0.19823558628559113
opt-125m/10.self_attn.v_proj	0.01959376595914364	0.01936701498925686	0.019622111693024635	0.019269714131951332	0.017581038177013397
opt-125m/11.fc1	0.01842617057263851	0.0144077492877841	0.019850851967930794	0.01433546096086502	0.01270290743559599
opt-125m/11.fc2	0.0025059643667191267	0.0023010801523923874	0.0026044026017189026	0.002156125381588936	0.0017989339539781213
opt-125m/11.self_attn.k_proj	0.2754991948604584	0.28106632828712463	0.228627011179924	0.2116995006799698	0.18024832010269165
opt-125m/11.self_attn.out_proj	0.0012459574500098825	0.0012170311529189348	0.0012928172945976257	0.001226557302288711	0.0010763161117210984
opt-125m/11.self_attn.q_proj	0.15153497457504272	0.14841173589229584	0.1449481099843979	0.1318800300359726	0.1145060658454895
opt-125m/11.self_attn.v_proj	0.025365618988871574	0.02500423975288868	0.025665240362286568	0.02501642145216465	0.02285713516175747
opt-125m/2.fc1	0.004775177221745253	0.0037638407666236162	0.009283404797315598	0.003916799556463957	0.003186920890584588
opt-125m/2.fc2	9.665006655268371e-05	9.501137537881732e-05	9.860554564511403e-05	9.071970271179453e-05	8.404444815823808e-05
opt-125m/2.self_attn.k_proj	0.5319854617118835	0.4581249952316284	0.1996612697839737	0.17544186115264893	0.1267494410276413
opt-125m/2.self_attn.out_proj	2.8219015803188086e-05	2.7916876206290908e-05	3.1648974982090294e-05	2.9567285309894942e-05	2.550878889451269e-05
opt-125m/2.self_attn.q_proj	0.3810286819934845	0.3144555389881134	0.16347450017929077	0.14132146537303925	0.0984649583697319
opt-125m/2.self_attn.v_proj	0.0037197622004896402	0.003628181992098689	0.003706480609253049	0.003523812396451831	0.002966467058286071
opt-125m/3.fc1	0.0034567750990390778	0.002854251302778721	0.004250684287399054	0.0029084256384521723	0.0024628781247884035
opt-125m/3.fc2	8.213229739340022e-05	8.100213017314672e-05	8.305752999149263e-05	7.6678377809003e-05	7.337453280342743e-05
opt-125m/3.self_attn.k_proj	0.9599082469940186	0.7241126894950867	0.12981285154819489	0.11234543472528458	0.07737550139427185
opt-125m/3.self_attn.out_proj	3.42301900673192e-05	3.3794844057410955e-05	3.4626482374733314e-05	3.319514144095592e-05	3.007090163009707e-05
opt-125m/3.self_attn.q_proj	0.8449528813362122	0.6240379810333252	0.10296780616044998	0.08902033418416977	0.06723198294639587
opt-125m/3.self_attn.v_proj	0.005062723066657782	0.004937001038342714	0.004981639329344034	0.004773616790771484	0.00408026622608304
opt-125m/4.fc1	0.0056993309408426285	0.0045881494879722595	0.008095803670585155	0.004640109837055206	0.003989575896412134
opt-125m/4.fc2	0.00017030297021847218	0.00016881652118172497	0.00015991715190466493	0.00014901463873684406	0.0001401581394020468
opt-125m/4.self_attn.k_proj	1.6883955001831055	1.216963768005371	0.19408340752124786	0.16093675792217255	0.12114035338163376
opt-125m/4.self_attn.out_proj	4.982727477909066e-05	4.902100772596896e-05	5.027369479648769e-05	4.8537138354731724e-05	4.46609737991821e-05
opt-125m/4.self_attn.q_proj	1.0829375982284546	0.7509283423423767	0.17881937325000763	0.1483835130929947	0.11017490178346634
opt-125m/4.self_attn.v_proj	0.006661262828856707	0.006475481670349836	0.00664413021877408	0.006290127988904715	0.005483078304678202
opt-125m/5.fc1	0.00479090865701437	0.004098071251064539	0.005653262138366699	0.00409412756562233	0.003591880202293396
opt-125m/5.fc2	0.00025880950852297246	0.00025749384076334536	0.00024812808260321617	0.00022599702060688287	0.00021308129362296313
opt-125m/5.self_attn.k_proj	1.5942907333374023	1.151002049446106	0.23110751807689667	0.18816925585269928	0.1437220275402069
opt-125m/5.self_attn.out_proj	8.461389370495453e-05	8.382688974961638e-05	8.611985686002299e-05	8.320540655404329e-05	7.675405504414812e-05
opt-125m/5.self_attn.q_proj	1.0598136186599731	0.7726523280143738	0.2151341289281845	0.17889924347400665	0.13907206058502197
opt-125m/5.self_attn.v_proj	0.0060537029057741165	0.005855698604136705	0.006028205156326294	0.005767719354480505	0.0051049175672233105
opt-125m/6.fc1	0.0050922539085149765	0.00409518601372838	0.0059472620487213135	0.004076292738318443	0.0035665121395140886
opt-125m/6.fc2	0.0003412085061427206	0.0003377546090632677	0.0003290780878160149	0.00029951147735118866	0.0002805515250656754
opt-125m/6.self_attn.k_proj	1.4709696769714355	1.0628679990768433	0.258060485124588	0.21519070863723755	0.17545640468597412
opt-125m/6.self_attn.out_proj	0.00011678496230160818	0.00011526385060278699	0.00011908940359717235	0.00011412375170039013	0.00010470099368831143
opt-125m/6.self_attn.q_proj	0.8934175968170166	0.6316484808921814	0.22066748142242432	0.18398691713809967	0.14902444183826447
opt-125m/6.self_attn.v_proj	0.008248422294855118	0.008073867298662663	0.008271031081676483	0.007928051054477692	0.007065424229949713
opt-125m/7.fc1	0.005978720728307962	0.005277656018733978	0.006712280213832855	0.00525591941550374	0.00463282223790884
opt-125m/7.fc2	0.000426309066824615	0.0004231871571391821	0.0004130770394112915	0.00038367105298675597	0.00036066994653083384
opt-125m/7.self_attn.k_proj	0.9627453684806824	0.7392231822013855	0.27731558680534363	0.22872859239578247	0.18636997044086456
opt-125m/7.self_attn.out_proj	0.00017839670181274414	0.00017686630599200726	0.00017928447050508112	0.00017540424596518278	0.00016097791376523674
opt-125m/7.self_attn.q_proj	0.581311047077179	0.43121472001075745	0.22562389075756073	0.18438462913036346	0.15080690383911133
opt-125m/7.self_attn.v_proj	0.011354665271937847	0.011114678345620632	0.010406455025076866	0.009880265220999718	0.008698278106749058
opt-125m/8.fc1	0.008086447604000568	0.007267357781529427	0.008577680215239525	0.007231058552861214	0.006388574838638306
opt-125m/8.fc2	0.0006857702974230051	0.0006825145683251321	0.0006819243426434696	0.0006390041089616716	0.00060251698596403
opt-125m/8.self_attn.k_proj	0.8955802321434021	0.7339930534362793	0.3055967092514038	0.26794448494911194	0.21725736558437347
opt-125m/8.self_attn.out_proj	0.0002965487365145236	0.0002948916517198086	0.00030559118022210896	0.00029507550061680377	0.00027070430223830044
opt-125m/8.self_attn.q_proj	0.48409798741340637	0.3725869357585907	0.24038080871105194	0.20896537601947784	0.17139029502868652
opt-125m/8.self_attn.v_proj	0.013490520417690277	0.013274569064378738	0.01342987921088934	0.01304047554731369	0.011699218302965164
opt-125m/9.fc1	0.01061048824340105	0.009630388580262661	0.011144752614200115	0.009590926580131054	0.008541508577764034
opt-125m/9.fc2	0.0010514891473576427	0.0010451952693983912	0.0010552759049460292	0.000988696701824665	0.0009320197277702391
opt-125m/9.self_attn.k_proj	0.6637200713157654	0.594597578048706	0.3358970880508423	0.30715200304985046	0.2488279789686203
opt-125m/9.self_attn.out_proj	0.0005060196272097528	0.0005028302548453212	0.0005195601843297482	0.0005021470715291798	0.00046183355152606964
opt-125m/9.self_attn.q_proj	0.3031797409057617	0.2654900848865509	0.217212975025177	0.20097410678863525	0.16331490874290466
opt-125m/9.self_attn.v_proj	0.01603483408689499	0.01568341813981533	0.016028083860874176	0.01564016379415989	0.014078807085752487
opt-350m/0.fc1	0.07801563292741776	0.07606582343578339	0.09621256589889526	0.07385362684726715	0.03616861626505852
opt-350m/0.fc2	0.002589448355138302	0.002579236403107643	0.0025117751210927963	0.002488234546035528	0.0022247410379350185
opt-350m/0.self_attn.k_proj	0.00697746966034174	0.005792434327304363	0.004486276768147945	0.003231164999306202	0.00030094501562416553
opt-350m/0.self_attn.out_proj	1.6410605496730568e-07	1.0083967083573953e-07	9.6854492426246e-08	7.033095528186095e-08	5.190348417727364e-08
opt-350m/0.self_attn.q_proj	0.012198073789477348	0.0026602267753332853	0.0024337947834283113	0.0011991884093731642	0.00026262999745085835
