Data	Max	MSE	Diag	Hessian	OBQAware
bloom-560m/5.mlp.dense_h_to_4h	0.09766508638858795	0.026725074276328087	0.027053996920585632	0.027631022036075592	0.024967126548290253
bloom-560m/5.self_attention.dense	0.0035783126950263977	0.0007615226204507053	0.00058886653278023	0.0006161800120025873	0.0005616570706479251
bloom-560m/5.self_attention.query_key_value	0.14240522682666779	0.045954037457704544	0.04226183891296387	0.04301046207547188	0.038794517517089844
bloom-560m/6.mlp.dense_4h_to_h	0.03651338070631027	0.0029492005705833435	0.0029527500737458467	0.003027161117643118	0.0028543409425765276
bloom-560m/6.mlp.dense_h_to_4h	0.12063407897949219	0.03131965175271034	0.03237856924533844	0.03255905210971832	0.029476476833224297
bloom-560m/6.self_attention.dense	0.004206100478768349	0.0008501429692842066	0.000878948369063437	0.0009275001939386129	0.000820703397039324
bloom-560m/6.self_attention.query_key_value	0.17997826635837555	0.07054320722818375	0.05674419179558754	0.056041013449430466	0.04850602149963379
bloom-560m/7.mlp.dense_4h_to_h	0.025271916761994362	0.0021813209168612957	0.0019542186055332422	0.002029807073995471	0.0019098130287602544
bloom-560m/7.mlp.dense_h_to_4h	0.061176903545856476	0.019275184720754623	0.018583986908197403	0.018722331151366234	0.016724063083529472
bloom-560m/7.self_attention.dense	0.0035758146550506353	0.0007320200093090534	0.0006802292773500085	0.0007033486617729068	0.0006281440146267414
bloom-560m/7.self_attention.query_key_value	0.1436769813299179	0.07312420755624771	0.05417295917868614	0.05164532735943794	0.04352186992764473
bloom-560m/8.mlp.dense_4h_to_h	0.011212758719921112	0.0018715648911893368	0.0013332697562873363	0.001393464277498424	0.0012967227958142757
bloom-560m/8.mlp.dense_h_to_4h	0.044426172971725464	0.01400202326476574	0.01345769315958023	0.013634579256176949	0.01217639446258545
bloom-560m/8.self_attention.dense	0.004546650685369968	0.0007408990059047937	0.0007563611143268645	0.0007849399116821587	0.0007205290021374822
bloom-560m/8.self_attention.query_key_value	0.2186211198568344	0.1606168895959854	0.08239197731018066	0.07944569736719131	0.06745155900716782
bloom-560m/9.mlp.dense_4h_to_h	0.008109888061881065	0.0018056798726320267	0.0011517019011080265	0.001211224589496851	0.0011141950963065028
bloom-560m/9.mlp.dense_h_to_4h	0.03368230164051056	0.012050682678818703	0.010358786210417747	0.010420748963952065	0.009371176362037659
bloom-560m/9.self_attention.dense	0.0045965141616761684	0.0007796211866661906	0.0007845857180655003	0.0007919842610135674	0.0007554684998467565
bloom-560m/9.self_attention.query_key_value	0.22798265516757965	0.25088900327682495	0.08380073308944702	0.08265821635723114	0.07192259281873703
opt-125m/0.fc1	0.0037257110234349966	0.0008940077386796474	0.0009636162430979311	0.0009753350168466568	0.0008351418073289096
