Data	Scaling	GPTQ	GPTQ+BiasCorrection	GPTQWithBiasCorrection
opt-350m/0.fc1	mse	0.10781697928905487	0.10482785105705261	0.10216895490884781
opt-350m/0.fc2	mse	0.0025967287365347147	0.0025883344933390617	0.002582568908110261
opt-350m/0.self_attn.k_proj	mse	0.010166564956307411	0.009262711741030216	0.00840325653553009
opt-350m/0.self_attn.out_proj	mse	2.987551397382049e-07	1.6319307860612753e-07	1.260232806998829e-07
opt-350m/0.self_attn.q_proj	mse	0.016709813848137856	0.007095664739608765	0.003916317131370306
opt-350m/0.self_attn.v_proj	mse	5.533317744266242e-05	5.4933330829953775e-05	5.3450523409992456e-05
opt-350m/1.fc1	mse	0.0757652223110199	0.07454833388328552	0.07092227041721344
opt-350m/1.fc2	mse	0.007231977302581072	0.007212943863123655	0.007179039530456066
opt-350m/1.self_attn.k_proj	mse	0.1840766966342926	0.18149933218955994	0.16232004761695862
opt-350m/1.self_attn.out_proj	mse	0.0008655005949549377	0.0008620820008218288	0.0008558396366424859
opt-350m/1.self_attn.q_proj	mse	0.101838119328022	0.09522925317287445	0.08514285832643509
opt-350m/1.self_attn.v_proj	mse	0.03361847996711731	0.0334598608314991	0.03262404352426529
opt-350m/10.fc1	mse	0.09316237270832062	0.09233281016349792	0.08860789239406586
opt-350m/10.fc2	mse	0.012109162285923958	0.012056834995746613	0.01196945458650589
opt-350m/10.self_attn.k_proj	mse	0.1512303352355957	0.14963781833648682	0.13904084265232086
opt-350m/10.self_attn.out_proj	mse	0.004941130988299847	0.0049330005422234535	0.0048935506492853165
opt-350m/10.self_attn.q_proj	mse	0.1414497047662735	0.14051899313926697	0.13595931231975555
opt-350m/10.self_attn.v_proj	mse	0.06168711185455322	0.061517566442489624	0.06069907546043396
opt-350m/11.fc1	mse	0.09583929181098938	0.09512694180011749	0.09177854657173157
opt-350m/11.fc2	mse	0.010288028977811337	0.01027168519794941	0.010215158574283123
opt-350m/11.self_attn.k_proj	mse	0.15006448328495026	0.14795899391174316	0.1362549513578415
opt-350m/11.self_attn.out_proj	mse	0.0033433851785957813	0.0033390033058822155	0.0033188501838594675
opt-350m/11.self_attn.q_proj	mse	0.12291410565376282	0.12226622551679611	0.11808781325817108
opt-350m/11.self_attn.v_proj	mse	0.07145097851753235	0.07127542793750763	0.07042069733142853
opt-350m/12.fc1	mse	0.101882204413414	0.1011405885219574	0.09758757054805756
opt-350m/12.fc2	mse	0.01034301333129406	0.010327884927392006	0.010259658098220825
